verdict	tier	llm	originMatch	band	headword	reading	glossEn	ko_word	ko_origin	ko_definition	llm_reason	id
1	2	2	Y	0	冒険	ぼうけん	adventure, venture, venture which is unlikely to succeed, risky attempt	모험(0)	冒險	위험을 무릅쓰고 어떠한 일을 함. 또는 그 일.	일본어의 'ぼうけん'은 모험을 뜻하지만 한국 표준국어대사전의 '모험'은 위험을 무릅쓰는 행위 자체를 지칭하며, 일본어에서는 '위험한 시도'라는 뉘앙스가 강해 핵심 의미 범주가 갈린다.	1519830
2	2	2	Y	0	文句	もんく	complaint, grumbling, objection, phrase	문구(1)	文句	글의 구절.	일본어의 '文句'는 불평이나 항의라는 뜻으로 쓰이는 반면, 한국 표준국어대사전의 '문구 (1)'는 글의 구절이라는 뜻으로 정의되어 핵심 의미가 다릅니다.	1505260
2	2	2	Y	0	文部	もんぶ	Ministry of Education, Science and Culture (1871-2001)	문부(1)	文部	조선 시대에, 육조 가운데 문관의 선임과 훈봉, 관원의 성적 고사(考査), 포폄(褒貶)에 관한 일을 맡아보던 관아.	일본어의 '문부'는 교육 행정 기관을 지칭하는 고유명사 (성명) 이지만, 한국 사전의 '문부'는 조선 시대 육조 중 문관의 인사와 고사를 담당하던 관아라는 일반 명사의 뜻으로, 두 단어의 핵심 의미와 역사적 배경이 완전히 다릅니다.	1505570
2	2	2	Y	0	文字	もじ	letter (of an alphabet), character, writing	문자(1)	文字	예전부터 전하여 내려오는, 한자로 된 숙어나 성구(成句) 또는 문장.	일본어의 '文字'는 문자의 기본 단위인 글자나 알파벳을 뜻하는 반면, 한국 표준국어대사전의 해당 표제어는 한자 숙어나 성구를 지칭하는 특수한 용어로 정의되어 핵심 의미가 다릅니다.	1505390
2	2	2	Y	0	文章	ぶんしょう	writing, composition, essay, article	문장(2)	文章	글을 뛰어나게 잘 짓는 사람.	일본어의 '文章'은 글쓰기 자체를 뜻하는 반면, 한국 표준국어대사전의 '문장 (2)'은 글을 잘 짓는 사람을 지칭하는 별개의 의미로 정의되어 핵심 뜻이 갈립니다.	1505470
1	2	2	Y	0	問題	もんだい	question (e.g. on a test), problem, problem (e.g. societal, political), question	문제(6)	問題	해답을 요구하는 물음.	일본어의 '문제'는 추상적인 '난제/고민'을 뜻하는 반면, 한국 표준국어대사전의 '문제 (6)'는 구체적으로 '해답을 요구하는 물음'이라는 정의와 예시 (시험 등) 가 명확히 구분되어 있어 핵심 의미가 갈라졌다.	1536010
2	2	2	Y	0	迷惑	めいわく	trouble, bother, annoyance, nuisance	미혹(0)	迷惑	무엇에 홀려 정신을 차리지 못함.	일본어의 '迷惑'는 타인에게 피해를 주는 '소란/방해'를 뜻하는 반면, 한국 표준국어대사전의 '미혹'은 정신을 혼란스럽게 하는 '속임/착각'을 뜻하여 핵심 의미가 다릅니다.	1532800
1	2	2	Y	0	未来	みらい	(distant) future, future existence, world beyond the grave, the world to come	미래(2)	未來	앞으로 올 때.	일본어의 '미래'는 시간적 개념인 '앞으로 올 때'를 뜻하는 반면, 한국 표준국어대사전의 '미래 (2)'는 종교적·영혼론적 의미인 '죽은 후의 세계나 천국'을 지칭하는 별개의 용어로 정의되어 있다.	1528060
1	2	2	Y	0	拍車	はくしゃ	(riding) spur, spurring on, acceleration, impetus	박차(2)	拍車	말을 탈 때에 신는 구두의 뒤축에 달려 있는 물건. 톱니바퀴 모양으로 쇠로 만들어 말의 배를 차서 빨리 달리게 한다.	일본어의 '拍車'는 말의 속도를 내는 동적 행위 (추진력 부여) 를 의미하는 반면, 한국 표준국어대사전의 '박차 (2)'는 말의 배를 차서 빨리 달리게 하는 구체적인 물리적 장치 (구두 뒤축의 톱니바퀴) 를 지칭하여 핵심 의미가 갈린다.	1474800
2	2	2	Y	0	半面	はんめん	while, although, though, but	반면(3)	半面	한 면의 절반.	일본어의 '半面'은 대조적 상황을 나타내는 접속부사 (though/although) 로 쓰이는 반면, 한국어 표준국어대사전의 '반면'은 공간적 개념인 '한 면의 절반'을 뜻하는 명사이므로 핵심 의미가 완전히 갈라져 동형이의에 해당합니다.	1479920
1	2	2	Y	0	反対	はんたい	opposition, resistance, antagonism, hostility	반대(2)	反對	두 사물이 모양, 위치, 방향, 순서 따위에서 등지거나 서로 맞섬. 또는 그런 상태.	일본어의 'はんたい'는 대립·저항을 뜻하는 반면, 한국 표준국어대사전의 '반대 (反對)'는 방향이 서로 맞섬이라는 공간적/상호작용적 의미를 주로 지니며 핵심 개념이 갈린다.	1480670
1	2	2	Y	0	半数	はんすう	half the number, half (of an amount), haploid (organism, cell, etc.), haplont	반수(5)	半數	전체의 절반이 되는 수.	일본어의 '半数'는 생물학적 용어인 '배수체(haploid)'를 의미하는 반면, 한국어의 '반수'는 수학적 개념인 '전체의 절반'을 뜻하여 핵심 의미가 갈린다.	1479530
2	2	2	Y	0	返済	へんさい	repayment, reimbursement, refund, redemption	반제(5)	返濟	빌렸던 돈을 모두 다 갚음.	일본어의 '返済'은 빚을 갚는다는 뜻이지만, 한국 표준국어대사전의 표제어인 '반제'는 빌린 돈을 모두 갚는다는 매우 구체적인 의미로 쓰이며, 현대 한국어에서는 이 한자어를 거의 사용하지 않아 핵심 쓰임이 갈라진 동형이의에 해당합니다.	1512210
1	2	2	Y	0	配備	はいび	deployment, disposition, posting, stationing	배비(1)	配備	배치하여 설비함.	일본어의 '配備'는 인력이나 장비의 배치 (posting/deployment) 를 뜻하는 반면, 한국어의 '배비'는 설비를 갖추거나 마련한다는 뜻으로 핵심 의미가 다릅니다.	1473180
1	2	2	Y	0	白人	はくじん	white person, Caucasian, beginner, amateur	백인(1)	白人	백색 인종에 속하는 사람.	일본어의 '白人'은 인종적 의미 (백인) 와 초보/신입의 의미 (은하인 등 은유적 확장) 가 공존하는 동형이의어이지만, 한국 표준국어대사전의 '백인'은 오직 인종적 의미만 포함하므로 핵심 뜻이 갈린다.	1475250
2	2	2	Y	0	白紙	はくし	white paper, flyleaf, blank paper, clean slate	백지(5)	白紙	닥나무 껍질로 만든 흰빛의 우리나라 종이.	일본어의 '白紙'는 빈 종이나 청산이라는 추상적 개념을 뜻하는 반면, 한국 표준국어대사전의 '백지'는 닥나무 껍질로 만든 특정 종이라는 구체적인 물질을 지칭하여 핵심 의미가 갈린다.	1475200
2	2	2	Y	0	番手	ばんて	(yarn) count, nth place (in a race), nth position (in a starting lineup), nth rank (in a battle formation)	번수(1)	番手	대궐에 번을 들어서 호위하던 기수.	일본어의 '番手'는 순서나 등급을 나타내는 추상적 개념인 반면, 한국 표준국어대사전의 '번수'는 구체적으로 궁궐 호위 기수를 지칭하는 고유 명사적 용어로 핵심 의미가 다릅니다.	1732510
1	2	2	Y	0	法務	ほうむ	judicial affairs, clerical duty (in a temple)	법무(1)	法務	법률에 관한 사무.	일본어의 '법무'는 사원 관리 등 종교적 직무를 뜻하는 반면, 한국어의 '법무'는 법률 관련 행정 사무를 뜻하여 핵심 의미가 다릅니다.	1517450
2	2	2	Y	0	法相	ほうしょう	Minister of Justice	법상(2)	法相	천지 만유의 모양.	일본어의 '法相'은 사법부 장관을 지칭하는 고유명사 (Minister of Justice) 이지만, 한국어 표준국어대사전의 '법상'은 천지 만유의 형상을 뜻하는 일반 명사이며 두 단어의 핵심 의미와 용법이 완전히 다릅니다.	1805280
2	2	2	Y	0	法人	ほうじん	corporation, corporate body, company, legal entity	법인(1)	法人	예전에, 프랑스 사람을 이르던 말.	일본어의 '法人'은 법인격 있는 조직을 뜻하는 반면, 한국 표준국어대사전의 표제어는 예전 프랑스인을 지칭하는 낡은 용어로 정의되어 핵심 의미가 완전히 갈라져 있습니다.	1517310
2	2	2	Y	0	別々	べつべつ	separate, respective, different	별별(0)	別別	보통과 다른 갖가지의.	일본어의 '別々'은 '서로 다른/개별적으로'라는 공간적·분리적 의미를 지니지만, 한국 표준국어대사전의 '별별'은 '보통과 다른 갖가지의'라는 다양성이나 특수성을 강조하는 어휘로 핵심 의미가 갈린다.	1603290
1	2	2	Y	0	別荘	べっそう	holiday house, vacation home, villa, prison	별장(3)	別莊	살림을 하는 집 외에 경치 좋은 곳에 따로 지어 놓고 때때로 묵으면서 쉬는 집.	일본어의 '별장'은 감옥을 뜻하는 반면 한국의 '별장'은 휴양지를 뜻하므로 핵심 의미가 완전히 갈라져 동형이의에 해당합니다.	1509970
2	2	2	Y	0	病気	びょうき	illness (usu. excluding minor ailments, e.g. common cold), disease, sickness, bad habit	병기(5)	病氣	병의 기운.	일본어의 '病気'는 질병이라는 명사적 개념을 지칭하는 반면, 한국 표준국어대사전의 '병기'는 병에 걸린 상태나 기운을 설명하는 용어로 쓰임새와 의미가 다릅니다.	1490230
2	2	2	Y	0	本音	ほんね	real intention, motive, true opinion, what one really thinks	본음(0)	本音	한자의 음을 읽을 때, 본래대로 소리 나는 음.	일본어의 '本音'은 '진심/실제 의도'를 뜻하는 반면, 한국 표준국어대사전의 '본음'은 한자음을 읽을 때 본래 소리 나는 음이라는 언어학적 개념으로 뜻이 완전히 다릅니다.	1522250
1	2	2	Y	0	不良	ふりょう	bad, poor, inferior, defective	불량(1)	不良	행실이나 성품이 나쁨.	일본어의 '不良'은 제품이나 품질의 결함을 뜻하는 반면, 한국 표준국어대사전의 '불량'은 주로 도덕적·성품적 나쁨을 지칭하여 핵심 의미가 갈린다.	1495290
1	2	2	Y	0	不信任	ふしんにん	non-confidence, lack of confidence	불-신임(0)	不信任	남을 믿지 못하여, 일을 맡기지 아니함.	일본어의 '불신임'은 정치·사회적 맥락에서 '신뢰하지 않음'을 뜻하는 반면, 한국 표준국어대사전의 '불신임'은 '믿지 못하여 일을 맡기지 않음'이라는 수동적/능동적 의미 차이가 있어 핵심 쓰임이 갈린다.	1493060
1	2	2	Y	0	婦人	ふじん	woman, lady, adult female	부인(4)	婦人	결혼한 여자.	일본어의 '婦人'은 성별을 지칭하는 일반 명사 (여성) 인 반면, 한국 표준국어대사전의 '부인 (4)'은 결혼 상태를 전제로 한 특정 여성을 지칭하는 고유명사적 용어로 뜻이 갈린다.	1496670
1	2	2	Y	0	不自由	ふじゆう	discomfort, inconvenience, poverty, want	부-자유(0)	不自由	무엇에 얽매여서 몸과 마음을 마음대로 움직일 수 없음.	일본어의 '불편함/가난'은 한자 어휘의 역사적 확장된 뜻이지만, 한국 표준국어대사전에서 정의하는 '부자유'의 핵심 의미인 '몸과 마음의 구속'과는 본래 뜻이 다릅니다.	1492680
1	2	2	Y	0	不在	ふざい	absence, disregard, indifference	부재(2)	不在	그곳에 있지 아니함.	일본어의 '不在'는 '무시하다/관심 없음'이라는 추상적 의미로 쓰이는 반면, 한국어의 '부재'는 물리적으로 '그곳에 있지 않다'는 구체적인 공간적 상태를 뜻하여 핵심 의미가 다릅니다.	1492460
1	2	2	Y	0	腐敗	ふはい	decomposition, putrefaction, putrescence, spoilage	부패(4)	腐敗	정치, 사상, 의식 따위가 타락함.	한자는 동일하지만 일본어는 물질적 부패 (부식/분해) 를, 한국어는 도덕적 타락을 각각 주요 의미로 사용하여 핵심 뜻이 갈렸다.	1497870
2	2	2	Y	0	分子	ぶんし	molecule, numerator, element (of a group), member	분자(1)	分子	어떤 특성을 가진 인간 개체. 흔히 부정적인 관점에서 이르는 말이다.	일본어의 '분자'는 물리학적 단위 (molecule) 나 수학적 개념 (numerator) 을 지칭하는 반면, 한국 표준국어대사전의 '분자'는 특정 집단 내 부정적인 성격을 가진 인간 개체를 의미하므로 핵심 뜻이 완전히 갈라져 동형이의에 해당한다.	1503630
1	2	2	Y	0	体制	たいせい	order, system, structure, set-up	체제(2)	體制	생기거나 이루어진 틀. 또는 그런 됨됨이.	일본어의 '体制'은 정치·사회적 질서나 체계를 의미하는 반면, 한국 표준국어대사전의 '체제 (體制)'는 주로 생명체의 조직이나 성품 등 내재된 상태/됨됨이를 뜻하여 핵심 의미가 갈린다.	1409550
2	2	2	Y	0	雰囲気	ふんいき	atmosphere, mood, ambience, ambiance	분위기(0)	雰圍氣	지구를 둘러싸고 있는 기체.	일본어의 '雰圍氣'는 공간의 분위기나 기운을 뜻하는 숙어로 쓰이지만, 한국 표준국어대사전의 '분위기'는 지구를 둘러싼 대기층이라는 과학적 정의를 가진 표제어이므로 핵심 의미가 갈린다.	1505070
1	2	2	Y	0	非常	ひじょう	emergency, extreme, great, extraordinary	비상(1)	非常	뜻밖의 긴급한 사태. 또는 이에 대응하기 위하여 신속히 내려지는 명령.	일본어의 '非常'은 '매우/극히'라는 부사적 의미로 쓰이는 반면, 한국 표준국어대사전의 '비상'은 '뜻밖의 긴급한 사태'라는 명사적 의미를 지니므로 핵심 뜻이 갈린다.	1484920
1	2	2	Y	0	秘書	ひしょ	(private) secretary, treasured book, secret book	비서(5)	祕書	일부 중요한 직위에 있는 사람에게 직속되어 있으면서 기밀문서나 사무를 맡아보는 직위. 또는 그 직위에 있는 사람.	일본어의 '비서'는 기밀문서를 다루는 직책이나 사람을 뜻하는 반면, 한국 표준국어대사전의 '비서 (5)'는 '보물'을 뜻하는 '비 (祕)'를 사용한 예외적 용어로 귀중품이나 비밀책을 지칭하는 별개의 의미로 정의되어 있어 핵심 뜻이 갈린다.	1484060
1	2	2	Y	0	事件	じけん	event, affair, incident, case	사건(1)	事件	사회적으로 문제를 일으키거나 주목을 받을 만한 뜻밖의 일.	일본어의 '事件'은 중립적인 '사건/일'을 뜻하지만, 한국 표준국어대사전의 '사건 (1)'은 사회적으로 문제가 있거나 주목을 받는 부정적 또는 중대한 일을 지칭하는 것으로 핵심 의미가 갈린다.	1313830
1	2	2	Y	0	師匠	ししょう	master, teacher, stable master	사장(21)	師匠	학문이나 기예에 능하여 남의 스승이 될 만한 사람. 또는 학문이나 기예를 가르치는 사람.	일본어의 '시쇼'는 특정 스승이나 마스터를 지칭하는 고유명사적 용어인 반면, 한국 표준국어대사전의 '사장'은 일반적인 스승을 뜻하는 동형이의어로 쓰임새가 다릅니다.	1308900
2	2	2	Y	0	思惑	おもわく	expectation, anticipation, prediction, forecast	사혹(0)	思惑	분별이나 판단을 하지 못하여 망설임.	일본어의 '思惑'은 미래에 대한 기대나 예측을 뜻하는 반면, 한국 표준국어대사전의 '사혹'은 분별하지 못해 망설이는 부정적 상태를 뜻하므로 핵심 의미가 다릅니다.	1309630
2	2	2	Y	0	三時	さんじ	3 o'clock, afternoon snack (eaten around 3 o'clock), three ages of Buddhism (following the death of Gautama Buddha; age of the true law, age of the copied law, and age of the degeneration of the law), three ages of the dharma	삼시(5)	三時	하루 중 세 번의 끼니. 또는 그 끼니때.	일본어의 '三時'는 불교의 세 시대를 지칭하는 전문 용어로 쓰이는 반면, 한국 표준국어대사전의 '삼시'는 하루 세 끼 식사라는 일상적 의미를 가지므로 핵심 뜻이 갈린다.	1300520
2	2	2	Y	0	三役	さんやく	three highest ranks (wrestling, unions, etc.), three parts, three divisions	삼역(1)	三役	세 사람 몫의 역할.	일본어의 '三役'은 특정 조직 내 최고직 세 명을 지칭하는 고유명사적 용어인 반면, 한국 표준국어대사전의 '삼역'은 일반적인 '세 사람 몫의 역할'이라는 추상적 개념을 뜻하므로 핵심 의미가 갈린다.	1301810
2	2	2	Y	0	三者	さんしゃ	three persons, three parties	삼자(3)	三者	일정한 일에 직접 관계가 없는 사람.	일본어의 '三者'는 구체적인 세 사람이나 세 당사자를 지칭하는 명사이지만, 한국 표준국어대사전의 '삼자'는 일정한 일에 직접 관계가 없는 사람을 뜻하는 추상적 개념으로 핵심 의미가 다릅니다.	1657940
2	2	2	Y	0	三千	さんぜん	3000, three thousand, many	삼천(1)	三千	천태종에서, 모든 만물을 통틀어 이르는 말. 지옥에서 불계(佛界)까지가 열이고, 그 열이 각각 열 개의 세계를 가짐으로써 백(百)이 되며, 그 백은 각각 열 가지 상(相)이 있어 천(千)이 되고, 그 천이 중생, 국토(國土), 오음(五陰)의 구별이 있어 모두 삼천이 된다.	일본어의 '3000'이라는 숫자 뜻과 한국 불교 용어로서의 '삼천'은 한자가 같지만 핵심 의미와 사용 맥락이 완전히 다르므로 동형이의입니다.	1301110
2	2	2	Y	0	上告	じょうこく	final appeal to the highest court	상고(3)	上告	윗사람에게 알림.	일본어의 '상고'는 법리상의 최종 항소 절차를 의미하는 반면, 한국 표준국어대사전의 '상고 (3)'는 일반적인 윗사람에게 알리는 행위를 뜻하여 핵심 의미가 갈린다.	1353200
2	2	2	Y	0	常務	じょうむ	managing director, executive director, routine business, regular business	상무(3)	常務	일상의 업무.	일본어의 '常務'는 기업 임원 직급을 뜻하는 반면, 한국 표준국어대사전의 '상무 (3)'는 일상적인 업무라는 뜻으로 핵심 의미가 갈린다.	1356130
2	2	2	Y	0	相撲	すもう	sumo (wrestling), sumo wrestler, rikishi	상박(3)	相撲	서로 마주 때림.	일본어의 '相撲'는 씨름이라는 구체적인 운동 명칭을 지칭하는 반면, 한국 표준국어대사전의 '상박'은 '서로 마주 때림'이라는 일반적인 동작이나 상태를 뜻하는 동형이의 관계입니다.	1401360
2	2	2	Y	0	上司	じょうし	(one's) superior, (one's) boss, the higher-ups	상사(5)	上司	위 등급의 관청.	일본어의 '상사'는 직급을 지칭하는 일반적 명사이지만, 한국 표준국어대사전의 '상사 (5)'는 관청이라는 특수한 역사적 용어로 정의되어 핵심 의미가 갈린다.	1353260
2	2	2	Y	0	相当	そうとう	corresponding to (in meaning, function, etc.), being equivalent to, appropriate, suitable	상당(4)	相當	일정한 액수나 수치 따위에 해당함.	일본어의 '相当'은 '적당한 정도나 수준'을 뜻하는 관형사형 용법으로 쓰이는 반면, 한국 표준국어대사전의 '상당'은 주로 '일정한 액수나 수치에 해당함'이라는 동사적/명사적 의미를 지녀 핵심 의미가 갈린다.	1401240
1	2	2	Y	0	社会資本	しゃかいしほん	social capital, SOC	사회^자본(0)	社會資本	국민 경제 발전의 기초가 되는 도로, 항만, 철도, 통신, 전력, 수도 따위의 공공시설.	일본어의 '사회자본'은 신뢰와 네트워크 등 무형의 자원을 의미하는 사회학 용어인 반면, 한국 표준국어대사전의 '사회자본'은 도로·철도 등 물리적 공공시설을 지칭하므로 핵심 의미가 다릅니다.	1658800
1	2	2	Y	0	謝礼	しゃれい	reward, honorarium, remuneration	사례(8)	謝禮	언행이나 선물 따위로 상대에게 고마운 뜻을 나타냄.	일본어의 'しゃれい'는 금전적 보상이나 상금 (보수) 을 의미하는 반면, 한국 표준국어대사전의 '사례'는 주로 감사의 표시나 예우를 뜻하며, 현대 한국어에서는 '보수'라는 뜻으로 쓰이지 않아 핵심 의미가 갈린다.	1323070
2	2	2	Y	0	生徒	せいと	pupil, student, schoolchild	생도(1)	生徒	군(軍)의 교육 기관, 특히 사관 학교의 학생.	일본어의 '생도'는 일반 학교 학생을 뜻하는 반면, 한국 표준국어대사전의 '생도 (1)'는 군 교육 기관이나 사관학교 학생이라는 특정 의미를 지녀 핵심 의미가 갈린다.	1379380
2	2	2	Y	0	生命	せいめい	life, existence, (one's) working life, career	생명(0)	生命	사람이 살아서 숨 쉬고 활동할 수 있게 하는 힘.	일본어의 'working life/career'는 한국 표준국어대사전의 핵심 정의인 '숨 쉬고 활동할 수 있는 힘'과 의미 범주가 다릅니다.	1379530
1	2	2	Y	0	生息	せいそく	inhabiting, living	생식(2)	生息	살아 숨 쉼.	일본어의 '생식 (せいそく)'은 '살아 숨 쉬다'라는 동사적 의미를 가지지만, 한국어 표준국어대사전의 표제어 '생식 (2)'은 주로 생식 작용이나 번식을 뜻하며, 일본어에서 쓰이는 '인구 유지/살아남기'라는 의미는 한국에서는 별도의 단어 (예: 생존) 로 표현되어 핵심 의미가 갈립니다.	1379220
2	2	2	Y	0	書房	しょぼう	study, library, bookstore, bookshop	서방(2)	書房	‘남편’을 낮잡아 이르는 말.	한자는 동일하지만 일본어에서는 '책방/도서관'을 뜻하는 반면 한국 표준국어대사전에서는 '남편'이라는 전혀 다른 뜻을 지닌 동형이의어입니다.	1344160
2	2	2	Y	0	先物	さきもの	futures, futures contract	선물(1)	先物	과일, 푸성귀, 해산물 따위에서 그해의 맨 처음에 나는 것.	동일한 한자 '先物'가 일본어에서는 금융 용어인 '선물 (futures)'을 의미하는 반면, 한국 표준국어대사전에서는 식물의 첫 번째 열매를 뜻하는 고유명사적 용어로 정의되어 핵심 의미가 완전히 갈라져 있다.	1388540
2	2	2	Y	0	選者	せんじゃ	judge, selector	선자(9)	選者	작품 따위를 골라서 뽑는 사람.	일본어의 '선자'는 특정 대상 (예: 우승자) 을 골라내는 행위 주체를 지칭하는 반면, 한국 표준국어대사전의 '선자'는 작품이나 후보를 심사하여 최종적으로 뽑아내는 심사위원을 의미하며, 핵심 개념이 다르다.	1646000
1	2	2	Y	0	選択肢	せんたくし	choices, alternatives, options	선택-지(0)	選擇肢	미리 제시된 여러 개의 답 가운데에서 물음이나 지시에 따라 알맞은 답을 고르도록 하는 시험 형식.	일본어의 '선택지'는 일반적인 대안이나 옵션을 뜻하는 반면, 한국 표준국어대사전의 '선택지'는 시험 문제에서 정답을 고르는 특정 형식을 지칭하여 핵심 의미가 갈린다.	1392330
2	2	2	Y	0	洗濯	せんたく	washing, laundry, relaxation, rejuvenation	세탁(0)	洗濯	주로 기계를 이용하여 더러운 옷이나 피륙 따위를 빠는 일.	일본어의 '洗濯'은 물리적 세탁과 심리적 휴식 (relaxation) 의 두 가지 전혀 다른 의미를 가지는 동형이의어이다.	1390980
2	2	2	Y	0	細胞	さいぼう	cell, cell (in an organization, esp. a communist party)	세포(2)	細胞	생물체를 이루는 기본 단위. 핵막의 유무에 따라 진핵 세포와 원핵 세포로 나뉜다.	동일한 한자이지만 생물학적 기본 단위라는 공통된 어원적 의미와는 별개로 일본어에서는 조직 내 최소 단위를 지칭하는 정치적 용어로 특화되어 쓰임새가 완전히 갈라졌다.	1295740
2	2	2	Y	0	小口	こぐち	cut end, edge (of a page, etc.), small amount, small quantity	소구(2)	小口	조금 열린 틈.	일본어의 '小口'는 물건의 양이나 금액이 적음을 뜻하는 관용적 표현인 반면, 한국 표준국어대사전의 '소구 (小口)'는 틈새나 구멍을 지칭하는 구체적인 명사이므로 핵심 의미가 다릅니다.	1639840
2	2	2	Y	0	水道	すいどう	water supply, water service, waterworks, tap water	수도(4)	水道	뱃길 또는 물길.	일본어의 '水道'는 상수도 시설을 뜻하는 반면, 한국 표준국어대사전의 '수도'는 뱃길이나 물길이라는 본래 의미를 지니며 핵심 의미가 갈라져 동형이의에 해당합니다.	1371920
2	2	2	Y	0	首相	しゅしょう	prime minister, chancellor (Germany, Austria, etc.), premier	수상(9)	首相	고려 시대와 조선 시대의 조정 우두머리를 지칭하는 말.	한자는 동일하지만 한국에서는 고려·조선 시대의 최고 통치자를 지칭하는 고유명사이고 일본에서는 현대의 내각총리대신을 뜻하는 일반 명사로 핵심 의미가 완전히 갈렸다.	1329300
2	2	2	Y	0	受信	じゅしん	receiving (a message, letter, email, etc.), reception (radio, TV, etc.)	수신(6)	受信	우편이나 택배 또는 전신이나 전화 따위를 받는 사람.	일본어의 '受信'은 기술적/비즈니스 용어로 '신호나 데이터를 받는 행위'를 뜻하는 반면, 한국 표준국어대사전의 '수신 (6)'은 구체적으로 '우편이나 전신 따위를 받는 사람'이라는 주체 (인격) 를 지칭하므로 핵심 의미가 다릅니다.	1329810
2	2	2	Y	0	巡査	じゅんさ	police officer, policeman, constable	순사(2)	巡査	일제 강점기에 둔, 경찰관의 가장 낮은 계급. 또는 그 계급의 사람. 지금의 순경에 해당한다.	일본어의 '巡査'는 현재 경찰관 일반을 지칭하는 반면, 한국 표준국어대사전의 '순사 (2)'는 일제 강점기 특유의 낮은 계급에 한정된 역사적 용어로 정의되어 핵심 의미가 갈린다.	1342110
2	2	2	Y	0	順次	じゅんじ	in order, sequential, seriatim	순차(2)	順次	돌아오는 차례.	일본어의 '순차'는 시간적/공간적 순서대로라는 뜻인 반면, 한국 표준국어대사전의 '순차 (2)'는 특정 주기를 거쳐 다시 돌아오는 차례를 의미하여 핵심 의미가 다릅니다.	1342330
2	2	2	Y	0	純粋	じゅんすい	pure, genuine, unmixed	순수(3)	純粹	전혀 다른 것의 섞임이 없음.	일본어의 '純粋'는 본질적 순수함을 뜻하지만, 한국 표준국어대사전의 표제어 '순수 (3)'는 원어 한자가 '純粹'로 명시되어 있어 두 단어의 핵심 의미와 쓰임이 갈라진 동형이의 관계입니다.	1341930
2	2	2	Y	0	時半	じはん	half past (the hour)	시반(3)	時半	아주 짧은 시간.	일본어의 '時半'은 시간 단위 (시각의 절반) 를 뜻하는 반면, 한국 표준국어대사전의 '시반'은 아주 짧은 시간을 뜻하는 별개의 어휘로 쓰임이 갈립니다.	1658480
2	2	2	Y	0	市部	しぶ	urban areas	시부(1)	市部	백제 때에, 시장에 대한 일을 맡아보던 중앙 관아.	일본어의 '시부'는 도시 지역을 뜻하는 일반 명사이지만, 한국 사전의 '시부'는 백제 시기의 특정 관아를 지칭하는 고유명사적 용어로 핵심 의미가 다릅니다.	1308680
2	2	2	Y	0	是非	ぜひ	certainly, without fail, right and wrong, pros and cons	시비(5)	是非	옳음과 그름.	일본어의 '是非'는 부사적 용법 (certainly) 과 명사적 용법 (pros and cons) 이 공존하는 반면, 한국 표준국어대사전의 '시비'는 오직 '옳음과 그름'이라는 명사적 의미만을 지니므로 핵심 뜻이 갈라져 동형이의에 해당한다.	1374530
2	2	2	Y	0	施設	しせつ	facility, facilities, institution, establishment	시설(2)	施設	도구, 기계, 장치 따위를 베풀어 설비함. 또는 그런 설비.	일본어의 '시설'은 물리적 설비나 기관을 뜻하는 명사이지만, 한국 표준국어대사전의 '시설 (2)'은 동사적 의미인 '설비하다'를 지칭하므로 핵심 의미가 다릅니다.	1310410
2	2	2	Y	0	市議	しぎ	city councillor, city councilor, city assemblyman	시의(1)	市議	지방 자치 단체인 시(市)의 의결 기관.	일본어의 '시ぎ'는 시의회 구성원 (인) 을 지칭하는 반면, 한국 표준국어대사전의 '시의'는 시의회라는 기관 자체를 지칭하므로 핵심 의미가 다릅니다.	1308220
1	2	2	Y	0	植民地	しょくみんち	colony, (Japanese) settlement (in Brazil)	식민-지(0)	植民地	정치적·경제적으로 다른 나라에 예속되어 국가로서의 주권을 상실한 나라. 경제적으로는 식민지 본국에 대한 원료 공급지, 상품 시장, 자본 수출지의 기능을 하며, 정치적으로는 종속국이 된다.	일본어의 '식민지'는 해외 거주지를 뜻하는 반면, 한국 표준국어대사전의 '식민지'는 주권을 상실한 종속국이라는 정치적·경제적 개념을 지칭하여 핵심 의미가 다릅니다.	1357350
2	2	2	Y	0	息子	むすこ	son, penis	식자(1)	息子	맹인들의 은어로, ‘자식’을 이르는 말.	일본어의 '息子'은 혈연 관계의 아들이라는 일반적 의미를 가지지만, 한국 표준국어대사전의 '식자 (1)'는 맹인 은어로 쓰이는 특수한 의미로 한자의 핵심 뜻이 갈려 동형이의에 해당합니다.	1404390
2	2	2	Y	0	神宮	じんぐう	high-status Shinto shrine with connection to imperial family, imperial Shinto shrine, Ise Grand Shrine	신궁(2)	神宮	신라 때에, 시조를 모시던 사당. 시조가 탄생한 곳인 내을에 설치하였으며, 설치 연대와 시조의 정체가 분명하지 않다.	일본어의 '神宮'은 천황과 관련된 신사 (이세大神宮 등) 를 지칭하는 반면, 한국 표준국어대사전의 '신궁 (2)'은 특정 역사적 인물 (시조) 을 모신 사당을 뜻하여 핵심 의미가 다릅니다.	1364500
